Sample	site	collection_date	serovar	site_order	farm_no	threshold_5	threshold_10	threshold_20	threshold_50	threshold_100	threshold_200	threshold_1000	snp_dist
F04818	Crate	2020-01-06 06:00:00	Kentucky	0	33	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04819	Crate	2020-01-06 06:00:00	Kentucky	0	33	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04820	Crate	2020-01-06 06:00:00	Kentucky	0	33	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	89
F04821	JLR	2020-01-06 06:00:00	Kentucky	14	33	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	81
F04822	Crate	2020-01-06 06:00:00	Kentucky	0	33	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	89
F04828	Crate	2020-01-07 06:00:00	Kentucky	0	20	Kentucky-28	Kentucky-19	Kentucky-15	Kentucky-8	Kentucky-6	Kentucky-5	Kentucky-5	133
F04829	Crate	2020-01-07 06:00:00	Kentucky	0	20	Kentucky-28	Kentucky-19	Kentucky-15	Kentucky-8	Kentucky-6	Kentucky-5	Kentucky-5	133
F04830	Crate	2020-01-07 06:00:00	Kentucky	0	20	Kentucky-26	Kentucky-17	Kentucky-13	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	103
F04834	Marel	2020-01-07 06:00:00	Kentucky	22	20	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	67
F04835	Conveyor	2020-01-07 06:00:00	Kentucky	21	20	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	67
F04838	Two-sided Conveyor Belts	2020-01-07 18:00:00	Kentucky	27	36	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	87
F04839	Cutting Board	2020-01-07 18:00:00	Kentucky	26	36	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	85
F04842	"S" Shape Conveyor	2020-01-07 18:00:00	Kentucky	25	36	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04843	Rapid Green Cone	2020-01-07 18:00:00	Kentucky	24	36	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04844	Dumper Conveyor	2020-01-07 18:00:00	Kentucky	23	36	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	83
F04846	Crate	2020-01-07 06:00:00	Kentucky	0	20	Kentucky-28	Kentucky-19	Kentucky-15	Kentucky-8	Kentucky-6	Kentucky-5	Kentucky-5	133
F04848	Crate	2020-01-14 06:00:00	Kentucky	0	1	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04849	Crate	2020-01-14 06:00:00	Kentucky	0	1	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	66
F04850	Wing Conveyor	2020-01-14 06:00:00	Kentucky	6	1	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	62
F04851	Drumette Chute	2020-01-14 06:00:00	Kentucky	9	1	Kentucky-16	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	92
F04853	Drumette Conveyor	2020-01-14 06:00:00	Kentucky	10	1	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04857	Crate	2020-01-21 06:00:00	Kentucky	0	57	Kentucky-32	Kentucky-22	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	176
F04858	Wing Stretcher	2020-01-21 06:00:00	Kentucky	2	57	Kentucky-32	Kentucky-22	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	179
F04859	Tip Cutter	2020-01-21 06:00:00	Kentucky	3	57	Kentucky-32	Kentucky-22	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	177
F04860	Wing Chute	2020-01-21 06:00:00	Kentucky	5	57	Kentucky-32	Kentucky-22	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	176
F04862	Drumette Chute	2020-01-21 06:00:00	Kentucky	9	57	Kentucky-32	Kentucky-22	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	180
F04863	Drumette Conveyor	2020-01-21 06:00:00	Kentucky	10	57	Kentucky-32	Kentucky-22	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	177
F04866	Conveyor	2020-01-28 06:00:00	Kentucky	21	34	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04875	Crate	2020-01-28 06:00:00	Kentucky	0	34	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	47
F04876	Crate	2020-01-28 06:00:00	Kentucky	0	34	Kentucky-19	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	93
F04877	Crate	2020-01-28 06:00:00	Kentucky	0	34	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	63
F04878	Crate	2020-01-28 06:00:00	Kentucky	0	34	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	47
F04883	Cone Line Cones	2020-01-27 18:00:00	Kentucky	19	56	Kentucky-36	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	166
F04889	Crate	2020-02-03 18:00:00	Kentucky	0	56	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	89
F04890	Crate	2020-02-03 18:00:00	Kentucky	0	56	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	80
F04891	Crate	2020-02-03 18:00:00	Kentucky	0	56	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	87
F04892	Wing Chute	2020-02-03 06:00:00	Kentucky	5	53	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	64
F04893	Drumette Cutter	2020-02-03 06:00:00	Kentucky	8	53	Kentucky-35	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	170
F04894	Crate	2020-02-03 06:00:00	Kentucky	0	24	Kentucky-12	Kentucky-10	Kentucky-8	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	68
F04895	Crate	2020-02-03 06:00:00	Kentucky	0	24	Kentucky-12	Kentucky-10	Kentucky-8	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	69
F04896	Crate	2020-02-04 06:00:00	Kentucky	0	28	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	90
F04898	Crate	2020-02-04 18:00:00	Kentucky	0	51	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	92
F04899	Crate	2020-02-04 18:00:00	Kentucky	0	51	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04901	BOB Cutter	2020-02-04 06:00:00	Kentucky	11	28	Kentucky-20	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04902	Drumette Chute	2020-02-11 18:00:00	Kentucky	9	6	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	66
F04903	Drumette Conveyor	2020-02-11 18:00:00	Kentucky	10	6	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04904	Conveyor	2020-02-10 18:00:00	Kentucky	21	4	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	66
F04906	Two-sided Conveyor Belts	2020-02-10 18:00:00	Kentucky	27	4	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	66
F04907	Conveyor	2020-02-10 06:00:00	Kentucky	21	29	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	51
F04908	Marel	2020-02-10 06:00:00	Kentucky	22	29	Kentucky-36	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	165
F04912	Cutting Board	2020-02-10 06:00:00	Kentucky	26	29	Kentucky-36	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	165
F04915	Crate	2020-02-10 06:00:00	Kentucky	0	29	Kentucky-36	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	166
F04916	Crate	2020-02-10 06:00:00	Kentucky	0	29	Kentucky-36	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	166
F04917	Crate	2020-02-10 06:00:00	Kentucky	0	29	Kentucky-36	Kentucky-25	Kentucky-17	Kentucky-9	Kentucky-6	Kentucky-5	Kentucky-5	166
F04919	Crate	2020-02-18 18:00:00	Kentucky	0	56	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04920	Conveyor	2020-02-19 06:00:00	Kentucky	21	12	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	90
F04921	Marel	2020-02-19 06:00:00	Kentucky	22	12	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	51
F04924	Dumper Conveyor	2020-02-19 18:00:00	Kentucky	23	3	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	88
F04925	Crate	2020-02-24 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04926	Crate	2020-02-24 06:00:00	Kentucky	0	66	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	82
F04927	Crate	2020-02-24 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04928	Crate	2020-02-24 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04929	Crate	2020-02-24 06:00:00	Kentucky	0	66	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04930	Drumette Conveyor	2020-02-24 18:00:00	Kentucky	10	14	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	80
F04933	Crate	2020-02-25 06:00:00	Kentucky	0	66	Kentucky-12	Kentucky-10	Kentucky-8	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	68
F04934	Crate	2020-02-25 06:00:00	Kentucky	0	66	Kentucky-12	Kentucky-10	Kentucky-8	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	68
F04935	Crate	2020-02-25 06:00:00	Kentucky	0	66	Kentucky-17	Kentucky-13	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	80
F04937	Crate	2020-02-25 18:00:00	Kentucky	0	14	Kentucky-14	Kentucky-12	Kentucky-10	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	65
F04938	Crate	2020-02-25 06:00:00	Kentucky	0	66	Kentucky-12	Kentucky-10	Kentucky-8	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	68
F04939	Crate	2020-03-02 06:00:00	Kentucky	0	36	Kentucky-21	Kentucky-15	Kentucky-11	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	84
F04940	Crate	2020-03-02 06:00:00	Kentucky	0	36	Kentucky-11	Kentucky-9	Kentucky-7	Kentucky-6	Kentucky-6	Kentucky-5	Kentucky-5	51
Reference	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
